trans_glass,trans_Mirror,trans_OOS,trans_all,trans_G_M,trans_Floor,trans_FU,trans_All_Floor
0.6950783556574321,0.864198067661743,0.6375612506649004,0.7170768134398218,0.7279631978975515,0.8719767575606772,0.3846376966734871,0.895720987110602
0.7428349739921166,0.8550479355354255,0.6500656705632438,0.7472357262682702,0.7724248763104867,0.88835026015444,0.43515686675266074,0.9098371854470163
0.7426334087348193,0.8882798775535478,0.6052304299452796,0.7510094207517239,0.770806145811747,0.8810707641781795,0.44249092734364914,0.9040513920965371
0.7470362760960535,0.8713338977361593,0.6606206813348116,0.7310481593143823,0.75687458818261,0.8724907838961873,0.40930183002452003,0.8951356929715807
0.7505147800562916,0.8662296447220104,0.5917936725535584,0.7516424203822949,0.7695105787057638,0.8924330987248341,0.4246901231301921,0.912071084218119
0.7384652084021115,0.7873391618765998,0.6364159806663163,0.7366878317101065,0.7547273764040178,0.8812761392845401,0.39863026923908546,0.9047689458613922
0.7256327422474766,0.8661820780255781,0.6642702233368379,0.7467932171926344,0.7581982070764987,0.8827771912299895,0.40814834099047553,0.9051445534703403
0.7505008626190744,0.6149503391280995,0.5042631648863908,0.7445019659939699,0.7609496630219467,0.8830963367211662,0.40235495078646033,0.9038328169177761
0.7467246495386207,0.8723178700086812,0.6278361430878929,0.7572188456085366,0.773869265063124,0.8913068352766427,0.42665260154293483,0.9133184732474916
0.7551717206885366,0.8094369560836012,0.5761079705824514,0.7452235766125614,0.7700582797196238,0.8936454295993309,0.41565187135031123,0.9151246605289366
0.765060601612915,0.891316964334254,0.6350964852023389,0.7682524637281851,0.7853484662014477,0.8898454593480382,0.42614540202945644,0.9146236076196335
0.7309107686355957,0.8492974824812062,0.6576137112146923,0.7354973443280901,0.7544832487978907,0.8904321542548491,0.4404142754401792,0.9116359606330883
0.7607272067529706,0.8701525724818472,0.6229040600494234,0.7581292196017195,0.7790211876319112,0.8898829498305962,0.42429955116943324,0.9147905506443305
0.7418272098507411,0.8577637399736129,0.6211492744954222,0.7516315702442095,0.770023105125001,0.8900326453628588,0.4135145128481741,0.9145401007773631
0.7592431707218952,0.8352573981929855,0.601834590044701,0.768265625563045,0.7844023225837103,0.8988735438790901,0.42678557982419346,0.9209061486599162
0.731802233537954,0.8539063685460997,0.580729440674469,0.7430058432580932,0.7556063978732092,0.8970730410398308,0.43771909569275813,0.9224043826596559
0.7547603804993883,0.8635853091647461,0.6497795900381542,0.7638737944560265,0.7830778861362258,0.8991241307027396,0.43598291630389374,0.9206526785966396
0.7034866375390931,0.866444309781307,0.6290628179428883,0.6955477672821105,0.7201666232534192,0.8708951842484879,0.3270789270077654,0.8908827053236367
0.7624555997909516,0.8733072003077841,0.6453431012280869,0.7697991629957233,0.7861290972118543,0.8997795301700713,0.432830477058994,0.9195506382139959
0.7613946463656927,0.8571455418320012,0.6054937307007865,0.7646749794110259,0.7824827893979283,0.8987353331098733,0.4327971352954584,0.9197629722771985
0.7666506414208016,0.815756812530491,0.6444528315949776,0.7669867177122297,0.7868073105160978,0.8942050294717451,0.4272185437598191,0.9187885932398577
0.7516240900488044,0.8426663346089358,0.6205292494098789,0.7659793999644205,0.7813296964876616,0.8976811421186006,0.4084646225841046,0.9168676666104242
0.7535431375980891,0.8283352012708223,0.6174122964662904,0.7587799743300779,0.7817210481614048,0.8966165249165926,0.41607025504997436,0.9149520327418952
0.7527748011392948,0.8323442811034338,0.6187762441299107,0.7608852345024275,0.7829719593421964,0.8930862077063811,0.41348566756751315,0.9136347765995942
0.758536402557513,0.8283513691660621,0.6093201026343948,0.76480360574431,0.785546499385028,0.8944388083021447,0.40968819533572465,0.9175080158124956
